,Building_05_DG.rdf,Building_06_DG.rdf,Freiform_Haus_DG.rdf,Option03_Revising_DG.rdf,Option04_Rev03_DG.rdf
Building_05_DG.rdf,1.0,0.9705659513108383,0.7628719119270571,0.9976199576031295,0.9621494204979548
Building_06_DG.rdf,0.9705659513108383,1.0,0.8961296051892704,0.9848621251877759,0.9994625489474868
Freiform_Haus_DG.rdf,0.7628719119270571,0.8961296051892704,1.0,0.8056373320780374,0.9101960699757752
Option03_Revising_DG.rdf,0.9976199576031295,0.9848621251877759,0.8056373320780374,1.0,0.9786505157057023
Option04_Rev03_DG.rdf,0.9621494204979548,0.9994625489474868,0.9101960699757752,0.9786505157057023,1.0
