Started: 2025-10-21T06:14:07.1515352+02:00 PID=43640
2025-10-21T06:14:07.1860785+02:00, CPU=21.480,00s, WS=57580 KB
2025-10-21T06:15:07.2685265+02:00, CPU=21.539,36s, WS=57580 KB
2025-10-21T06:16:07.2913398+02:00, CPU=21.598,80s, WS=57580 KB
2025-10-21T06:17:07.3179234+02:00, CPU=21.658,39s, WS=57580 KB
2025-10-21T06:18:07.3450159+02:00, CPU=21.717,86s, WS=57580 KB
2025-10-21T06:19:07.3715548+02:00, CPU=21.777,30s, WS=57580 KB
2025-10-21T06:20:07.4109898+02:00, CPU=21.837,05s, WS=57580 KB
2025-10-21T06:21:07.4518600+02:00, CPU=21.896,59s, WS=57580 KB
2025-10-21T06:22:07.4876532+02:00, CPU=21.956,05s, WS=57580 KB
2025-10-21T06:23:07.5198272+02:00, CPU=22.015,48s, WS=57580 KB
2025-10-21T06:24:07.5444673+02:00, CPU=22.074,80s, WS=57580 KB
2025-10-21T06:25:07.5811134+02:00, CPU=22.134,34s, WS=57580 KB
2025-10-21T06:26:07.6094227+02:00, CPU=22.193,45s, WS=57580 KB
2025-10-21T06:27:07.6444948+02:00, CPU=22.252,92s, WS=55320 KB
2025-10-21T06:28:07.6779545+02:00, CPU=22.312,47s, WS=55320 KB
2025-10-21T06:29:07.7092112+02:00, CPU=22.371,97s, WS=55320 KB
2025-10-21T06:30:07.7335461+02:00, CPU=22.431,45s, WS=55320 KB
2025-10-21T06:31:07.7638274+02:00, CPU=22.490,77s, WS=55320 KB
2025-10-21T06:32:07.7872456+02:00, CPU=22.550,06s, WS=55320 KB
2025-10-21T06:33:07.8227547+02:00, CPU=22.609,45s, WS=55320 KB
2025-10-21T06:34:07.8543225+02:00, CPU=22.668,84s, WS=55320 KB
2025-10-21T06:35:07.8861935+02:00, CPU=22.728,23s, WS=55320 KB
2025-10-21T06:36:07.9174652+02:00, CPU=22.787,67s, WS=55320 KB
2025-10-21T06:37:07.9478175+02:00, CPU=22.846,75s, WS=55320 KB
2025-10-21T06:38:07.9859048+02:00, CPU=22.906,39s, WS=55320 KB
2025-10-21T06:39:08.0191342+02:00, CPU=22.965,75s, WS=55320 KB
2025-10-21T06:40:08.0516262+02:00, CPU=23.025,36s, WS=55320 KB
2025-10-21T06:41:08.0914408+02:00, CPU=23.084,58s, WS=55320 KB
2025-10-21T06:42:08.1239431+02:00, CPU=23.144,16s, WS=55320 KB
2025-10-21T06:43:08.1572881+02:00, CPU=23.203,63s, WS=55320 KB
2025-10-21T06:44:08.1898637+02:00, CPU=23.263,08s, WS=55320 KB
2025-10-21T06:45:08.2237520+02:00, CPU=23.322,52s, WS=55320 KB
2025-10-21T06:46:08.2550368+02:00, CPU=23.381,80s, WS=55320 KB
2025-10-21T06:47:08.2871527+02:00, CPU=23.441,09s, WS=55320 KB
2025-10-21T06:48:08.3163985+02:00, CPU=23.500,70s, WS=55320 KB
2025-10-21T06:49:08.3444921+02:00, CPU=23.560,06s, WS=55320 KB
2025-10-21T06:50:08.3845178+02:00, CPU=23.619,36s, WS=55320 KB
2025-10-21T06:51:08.4247969+02:00, CPU=23.678,64s, WS=55320 KB
2025-10-21T06:52:08.4509675+02:00, CPU=23.737,98s, WS=55320 KB
2025-10-21T06:53:08.4819995+02:00, CPU=23.797,19s, WS=55320 KB
2025-10-21T06:54:08.5119043+02:00, CPU=23.856,45s, WS=55320 KB
2025-10-21T06:55:08.5346883+02:00, CPU=23.915,91s, WS=55320 KB
2025-10-21T06:56:08.5646918+02:00, CPU=23.975,14s, WS=55320 KB
2025-10-21T06:57:08.6018206+02:00, CPU=24.034,59s, WS=55320 KB
2025-10-21T06:58:08.6276479+02:00, CPU=24.094,03s, WS=55320 KB
2025-10-21T06:59:08.6528066+02:00, CPU=24.153,50s, WS=55320 KB
2025-10-21T07:00:08.6804467+02:00, CPU=24.212,94s, WS=55320 KB
2025-10-21T07:01:08.7113430+02:00, CPU=24.272,55s, WS=55320 KB
2025-10-21T07:02:08.7362068+02:00, CPU=24.332,14s, WS=55320 KB
2025-10-21T07:03:08.7696987+02:00, CPU=24.391,55s, WS=55320 KB
2025-10-21T07:04:08.7926329+02:00, CPU=24.451,02s, WS=55320 KB
2025-10-21T07:05:08.8233450+02:00, CPU=24.510,28s, WS=55320 KB
