setup,w_content,w_typed,w_edge,w_struct,mean_S_total,std_S_total,max_S_total,min_S_total
S0_all,0.3,0.2,0.1,0.4,0.6550062021565368,0.08741888710125711,0.7912042684465035,0.5124092056907081
S_sem_only,0.0,0.0,0.0,1.0,0.7922320836349818,0.12793020064513988,1.0,0.6035533905932737
S_geom_only,0.5,0.25,0.25,0.0,0.5393692068711937,0.07109397957901288,0.7106557156117391,0.45127383171581237
materials_off,0.35,0.15,0.1,0.4,0.6871461843762813,0.07606779767158071,0.7992694865474876,0.5572012632264225
systems_off,0.3,0.2,0.1,0.4,0.6550062021565368,0.08741888710125711,0.7912042684465035,0.5124092056907081
