,Building_05_DG.rdf,Building_06_DG.rdf,Freiform_Haus_DG.rdf,Option03_Revising_DG.rdf,Option04_Rev03_DG.rdf
Building_05_DG.rdf,1.0,0.8673059995815113,0.635251412444875,0.7336588872884666,0.6867275220081981
Building_06_DG.rdf,0.8673059995815113,1.0,0.6502043938855716,0.6992040344496472,0.6763408263504991
Freiform_Haus_DG.rdf,0.635251412444875,0.6502043938855716,1.0,0.5685995775147706,0.6762925275732725
Option03_Revising_DG.rdf,0.7336588872884666,0.6992040344496472,0.5685995775147706,1.0,0.6841456991775889
Option04_Rev03_DG.rdf,0.6867275220081981,0.6763408263504991,0.6762925275732725,0.6841456991775889,1.0
