,Building_05_DG.rdf,Building_06_DG.rdf,Freiform_Haus_DG.rdf,Option03_Revising_DG.rdf,Option04_Rev03_DG.rdf
Building_05_DG.rdf,1.0,0.4679991876896157,0.31386874820089616,0.33596568868935156,0.36534485776421916
Building_06_DG.rdf,0.4679991876896157,1.0,0.3166522268200588,0.3046999704334252,0.3427886592849862
Freiform_Haus_DG.rdf,0.31386874820089616,0.3166522268200588,1.0,0.2709878494533986,0.2762925275732725
Option03_Revising_DG.rdf,0.33596568868935156,0.3046999704334252,0.2709878494533986,1.0,0.3865339711162169
Option04_Rev03_DG.rdf,0.36534485776421916,0.3427886592849862,0.2762925275732725,0.3865339711162169,1.0
