,Building_05_DG.rdf,Building_06_DG.rdf,Freiform_Haus_DG.rdf,Option03_Revising_DG.rdf,Option04_Rev03_DG.rdf
Building_05_DG.rdf,1.0,0.8679991876896157,0.7138687482008962,0.7359656886893515,0.7653448577642192
Building_06_DG.rdf,0.8679991876896157,1.0,0.7166522268200588,0.7046999704334252,0.7427886592849862
Freiform_Haus_DG.rdf,0.7138687482008962,0.7166522268200588,1.0,0.6709878494533986,0.6762925275732725
Option03_Revising_DG.rdf,0.7359656886893515,0.7046999704334252,0.6709878494533986,1.0,0.7865339711162169
Option04_Rev03_DG.rdf,0.7653448577642192,0.7427886592849862,0.6762925275732725,0.7865339711162169,1.0
