,Building_05_DG.rdf,Building_06_DG.rdf,Freiform_Haus_DG.rdf,Option03_Revising_DG.rdf,Option04_Rev03_DG.rdf
Building_05_DG.rdf,1.0,0.8380323262147589,0.07399877146615007,0.32067368566356624,0.46555200779181916
Building_06_DG.rdf,0.8380323262147589,1.0,0.08566361217411077,0.16999255837782648,0.3584272973592597
Freiform_Haus_DG.rdf,0.07399877146615007,0.08566361217411077,1.0,0.004471008478224682,0.007376005429492479
Option03_Revising_DG.rdf,0.32067368566356624,0.16999255837782648,0.004471008478224682,1.0,0.5800988027736782
Option04_Rev03_DG.rdf,0.46555200779181916,0.3584272973592597,0.007376005429492479,0.5800988027736782,1.0
