model,M2_frameNode,M3_wallSlab,M4_core,M2b_braceNode,_n_struct
Building_05_DG.rdf,0,0,0,0,135
Building_06_DG.rdf,0,0,0,0,92
Freiform_Haus_DG.rdf,0,0,0,0,77
Option03_Revising_DG.rdf,0,0,0,0,579
Option04_Rev03_DG.rdf,0,0,0,0,444
