,Building_05_DG.rdf,Building_06_DG.rdf,Freiform_Haus_DG.rdf,Option03_Revising_DG.rdf,Option04_Rev03_DG.rdf
Building_05_DG.rdf,1.0,0.9993366882344419,0.9968966463588873,0.9061031718554613,0.9074481873528513
Building_06_DG.rdf,0.9993366882344419,1.0,0.998398347950789,0.9023381958595332,0.9036773327104476
Freiform_Haus_DG.rdf,0.9968966463588873,0.998398347950789,1.0,0.9003121591925124,0.9160577549579134
Option03_Revising_DG.rdf,0.9061031718554613,0.9023381958595332,0.9003121591925124,1.0,0.9017140352049376
Option04_Rev03_DG.rdf,0.9074481873528513,0.9036773327104476,0.9160577549579134,0.9017140352049376,1.0
